case,miss,miss_rate,policy,size
case_2.txt,38,0.19,LRUCache,13
case_2.txt,27,0.135,LRUCache,14
case_2.txt,15,0.075,LRUCache,15
case_2.txt,15,0.075,LRUCache,16
case_2.txt,15,0.075,LRUCache,17
case_2.txt,15,0.075,LRUCache,18
case_2.txt,15,0.075,LRUCache,19
case_2.txt,15,0.075,LRUCache,20
case_2.txt,15,0.075,LRUCache,21
case_2.txt,15,0.075,LRUCache,22
case_2.txt,15,0.075,LRUCache,23
case_2.txt,15,0.075,LRUCache,24
case_2.txt,15,0.075,LRUCache,25
case_2.txt,15,0.075,LRUCache,26
case_2.txt,15,0.075,LRUCache,27
case_2.txt,15,0.075,LRUCache,28
case_2.txt,15,0.075,LRUCache,29
case_2.txt,15,0.075,LRUCache,30
case_2.txt,194,0.97,FIFOCache,1
case_2.txt,175,0.875,FIFOCache,2
case_2.txt,160,0.8,FIFOCache,3
case_2.txt,145,0.725,FIFOCache,4
case_2.txt,137,0.685,FIFOCache,5
case_2.txt,119,0.595,FIFOCache,6
case_2.txt,114,0.57,FIFOCache,7
case_2.txt,109,0.545,FIFOCache,8
case_2.txt,86,0.43,FIFOCache,9
case_2.txt,78,0.39,FIFOCache,10
case_2.txt,64,0.32,FIFOCache,11
case_2.txt,52,0.26,FIFOCache,12
case_2.txt,42,0.21,FIFOCache,13
case_2.txt,28,0.14,FIFOCache,14
case_2.txt,15,0.075,FIFOCache,15
case_2.txt,15,0.075,FIFOCache,16
case_2.txt,15,0.075,FIFOCache,17
case_2.txt,15,0.075,FIFOCache,18
case_2.txt,15,0.075,FIFOCache,19
case_2.txt,15,0.075,FIFOCache,20
case_2.txt,15,0.075,FIFOCache,21
case_2.txt,15,0.075,FIFOCache,22
case_2.txt,15,0.075,FIFOCache,23
case_2.txt,15,0.075,FIFOCache,24
case_2.txt,15,0.075,FIFOCache,25
case_2.txt,15,0.075,FIFOCache,26
case_2.txt,15,0.075,FIFOCache,27
case_2.txt,15,0.075,FIFOCache,28
case_2.txt,15,0.075,FIFOCache,29
case_2.txt,15,0.075,FIFOCache,30
case_2.txt,194,0.97,LFUCache,1
case_2.txt,187,0.935,LFUCache,2
case_2.txt,169,0.845,LFUCache,3
case_2.txt,152,0.76,LFUCache,4
case_2.txt,142,0.71,LFUCache,5
case_2.txt,121,0.605,LFUCache,6
case_2.txt,118,0.59,LFUCache,7
case_2.txt,100,0.5,LFUCache,8
case_2.txt,84,0.42,LFUCache,9
case_2.txt,67,0.335,LFUCache,10
case_2.txt,59,0.295,LFUCache,11
case_2.txt,48,0.24,LFUCache,12
case_2.txt,39,0.195,LFUCache,13
case_2.txt,25,0.125,LFUCache,14
case_2.txt,15,0.075,LFUCache,15
case_2.txt,15,0.075,LFUCache,16
case_2.txt,15,0.075,LFUCache,17
case_2.txt,15,0.075,LFUCache,18
case_2.txt,15,0.075,LFUCache,19
case_2.txt,15,0.075,LFUCache,20
case_2.txt,15,0.075,LFUCache,21
case_2.txt,15,0.075,LFUCache,22
case_2.txt,15,0.075,LFUCache,23
case_2.txt,15,0.075,LFUCache,24
case_2.txt,15,0.075,LFUCache,25
case_2.txt,15,0.075,LFUCache,26
case_2.txt,15,0.075,LFUCache,27
case_2.txt,15,0.075,LFUCache,28
case_2.txt,15,0.075,LFUCache,29
case_2.txt,15,0.075,LFUCache,30
case_2.txt,194,0.97,RRCache,1
case_2.txt,173,0.865,RRCache,2
case_2.txt,157,0.785,RRCache,3
case_2.txt,144,0.72,RRCache,4
case_2.txt,139,0.695,RRCache,5
case_2.txt,131,0.655,RRCache,6
case_2.txt,105,0.525,RRCache,7
case_2.txt,93,0.465,RRCache,8
case_2.txt,96,0.48,RRCache,9
case_2.txt,78,0.39,RRCache,10
case_2.txt,55,0.275,RRCache,11
case_2.txt,50,0.25,RRCache,12
case_2.txt,40,0.2,RRCache,13
case_2.txt,30,0.15,RRCache,14
case_2.txt,15,0.075,RRCache,15
case_2.txt,15,0.075,RRCache,16
case_2.txt,15,0.075,RRCache,17
case_2.txt,15,0.075,RRCache,18
case_2.txt,15,0.075,RRCache,19
case_2.txt,15,0.075,RRCache,20
case_2.txt,15,0.075,RRCache,21
case_2.txt,15,0.075,RRCache,22
case_2.txt,15,0.075,RRCache,23
case_2.txt,15,0.075,RRCache,24
case_2.txt,15,0.075,RRCache,25
case_2.txt,15,0.075,RRCache,26
case_2.txt,15,0.075,RRCache,27
case_2.txt,15,0.075,RRCache,28
case_2.txt,15,0.075,RRCache,29
case_2.txt,15,0.075,RRCache,30
case_3.txt,166,0.83,LRUCache,1
case_3.txt,133,0.665,LRUCache,2
case_3.txt,114,0.57,LRUCache,3
case_3.txt,94,0.47,LRUCache,4
case_3.txt,80,0.4,LRUCache,5
case_3.txt,72,0.36,LRUCache,6
case_3.txt,60,0.3,LRUCache,7
case_3.txt,56,0.28,LRUCache,8
case_3.txt,51,0.255,LRUCache,9
case_3.txt,49,0.245,LRUCache,10
